Student number 	Flyby initial time
	
4190971	988189456.8678
4474538	988190694.79652
4272846	988188973.038928
4543548	979534734.830412
4450973	979539183.945079
4554566	980981428.272369
4304225	971380088.039777
4430166	979539176.269924
4168755	979537866.474455
4534581	976652258.773408
4548671	989629662.00038
4175557	971377993.739396
4444582	979536784.669303
4359526	976654005.119419
4549074	988189504.925739
4547330	976656171.456616
4548485	976653711.802058
4547101	979541492.162131
4109686	980982516.252928
4660870	980978218.61881
4670302	993949261.840364
4646916	976654473.525259
4643879	989629928.190092
4676998	979534829.79957
4672496	988184952.852465
4454081	989632693.865445
4662776	989629844.514573
4659147	989632191.059143
4652649	980978371.797979
4650468	988186112.371723
4650808	978098024.658543
4582675	978094970.306849
4658035	978097736.415424
4659821	978096120.508309
4829409	980979486.202057
4771958	978099121.391632
4787196	989632331.64985
4785630	993951059.464292
4847814	976657392.035977
4827333	978098324.842712
4838726	988190236.769791
4824504	978095247.277556
4824555	976657615.703802
4850785	971378189.229154
4873165	988185954.353828
4818334	979534679.350495
4785940	989628215.250703
4795679	989629532.536796
4782364	971379179.493666
4810511	988184695.018827
5054710	980977371.469517
5152542	976654775.333867
5146496	980980489.363511
5389100	993955271.970961
5283507	971383134.465779
5237335	978098804.326501
5229405	979539950.377787
5507901	993954769.606422
5613558	976654323.130901
5613612	978093625.967549
5462592	980977648.030771
5611806	971384389.642582
5616727	971383048.303384
5468515	989626561.519007
5502659	971377709.356535
5593409	971378397.907841
5615607	980979465.582063
5612055	993954227.120242
5622824	988189456.8678
5620325	988190694.79652
5634660	988188973.038928
5483093	979534734.830412
5644011	979539183.945079
5460646	980981428.272369
5626919	971380088.039777
5622832	979539176.269924
5622352	979537866.474455
4881710	976652258.773408
5611989	989629662.00038
5540011	971377993.739396
5372801	979536784.669303
5616484	976654005.119419

